Date,Media Sources,Neutral,Positive,Text,Tweet Polarity,Tweets Ago
09/20/2017,The New York Times,0.68,0.141,"After brawling his way to a middleweight boxing championship, LaMotta became a pop culture symbol of anger https://t.co/vWR806QYFe",-0.2023,44
09/20/2017,The New York Times,0.714,0.134,"Breaking News: Jake LaMotta, the legendary boxer who inspired the Oscar-winning film “Raging Bull,” has died at 95 https://t.co/vWR806QYFe",-0.1027,43
09/20/2017,The New York Times,0.865,0.0,"Kevin Durant regrets his tweets about the Oklahoma City Thunder, saying they were ""childish"" and ""idiotic"" https://t.co/Qk5Yqw6Eih",-0.3612,42
09/20/2017,The New York Times,1.0,0.0,RT @nytopinion: A Swedish man was sent undercover by a British anti-racist watchdog group to insinuate himself into the alt-right https://t…,0.0,41
09/20/2017,The New York Times,0.859,0.0,"Outta here! The record for most combined home runs in a single season, set in 2000, has fallen. https://t.co/ZQz4ybAXWZ",-0.4199,40
09/20/2017,The New York Times,0.9,0.0,"Penny was just 1 year old, the latest victim of an opioid epidemic that is now taking 60,000 lives a year https://t.co/e76Ej8jthm",-0.2732,39
09/20/2017,The New York Times,1.0,0.0,"Trump declined to tell reporters what he planned to do, though, saying, “I’ll let you know what the decision is” https://t.co/WInebVOPme",0.0,38
09/20/2017,The New York Times,0.895,0.0,"President Trump: ""We have a big one going right now — I’ve never seen winds like this — in Puerto Rico"" https://t.co/1C0p0js6Nh",-0.2755,37
09/20/2017,The New York Times,1.0,0.0,We scoured the internet for political writing from the right and left that you might not have seen https://t.co/YTYjBPdfNC,0.0,36
09/20/2017,The New York Times,0.766,0.127,"President Trump is now fully engaged in two nuclear confrontations, one with Iran and the other with North Korea https://t.co/muyrDSmHPw",0.1263,35
09/20/2017,The New York Times,1.0,0.0,“It’s very characteristic of the Mexican people: We stand together” https://t.co/mXNAR9j3NN,0.0,34
09/20/2017,The New York Times,0.741,0.259,RT @nytvideo: Hurricane Maria reached Puerto Rico as a powerful Category 4 storm early Wednesday. https://t.co/DdnVOtWHRz,0.4939,33
09/20/2017,The New York Times,0.851,0.0,"Why Documenta, a world-famous art exhibition, needed a government bailout https://t.co/14cmG5JKJm",-0.1027,32
09/20/2017,The New York Times,0.8,0.0,Gov. Rosselló said that 61% of Puerto Rico had lost power and that he expected the island to lose power entirely https://t.co/YKMiQwgRbP,-0.6124,31
09/20/2017,The New York Times,1.0,0.0,A look at the buildings that toppled in Mexico's earthquake https://t.co/SY9rGqIqqz,0.0,30
09/20/2017,The New York Times,0.688,0.0,"""That is the most difficult thing: to feel that you are useless, not worth as much as before"" https://t.co/pzkd5mEenm",-0.7398,29
09/20/2017,The New York Times,0.773,0.227,Explore some of the chic hotels that are inviting guests to a revitalized Los Angeles. Our #Daily360: https://t.co/9fHoPjzRRD,0.5267,28
09/20/2017,The New York Times,0.746,0.254,"""We have to get actively involved in helping the corals come back."" Researchers want to breed corals in labs: https://t.co/B9VXiYDb31",0.5859,27
09/20/2017,The New York Times,0.84,0.0,RT @nytgraphics: We’re mapping buildings that collapsed in Mexico City. https://t.co/mu5IVS3QQ8 https://t.co/vTf4UIxptS,-0.2732,26
09/20/2017,The New York Times,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/Ivbg7HCqFm https://t.co/B5sucO5o6S,0.0,25
09/20/2017,The New York Times,0.608,0.0,Jimmy Kimmel accuses Bill Cassidy of lying. Our late-night roundup: https://t.co/mV57JCOWQV,-0.7003,24
09/20/2017,The New York Times,0.855,0.145,"Amazon is ""reviewing"" its website after it suggested bomb-making items https://t.co/Qaw0S7o40x",0.1779,23
09/20/2017,The New York Times,0.548,0.0,A bystander narrowly escaped death when a Russian military helicopter accidentally fired rockets into a parking lot https://t.co/6Tuq8H9Q1J,-0.872,22
09/20/2017,The New York Times,0.579,0.0,Three people have been arrested in Wales in connection with the terrorist attack at a London Tube station https://t.co/SWBgAiYLTA,-0.8979,21
09/20/2017,The New York Times,0.818,0.101,"""Isn't that the Trump lawyer?"" Here's how our reporter @kenvogel landed an accidental scoop. https://t.co/PAA7gi2VdU",0.0772,20
09/20/2017,The New York Times,0.891,0.109,"Opinion: When will black lives matter in St. Louis?
 https://t.co/kV2RyDmdpd",0.0258,19
09/20/2017,The New York Times,0.547,0.0,Trump's threat to destroy North Korea provoked a debate about whether he had violated a tenet of the UN Charter https://t.co/y9CaOfNDkz,-0.9081,18
09/20/2017,The New York Times,1.0,0.0,Opinion: Undercover with the alt-right https://t.co/tmsXY3yL9B,0.0,17
09/20/2017,The New York Times,1.0,0.0,"The U.S. is taking in 50 refugees from offshore camps, Australia says https://t.co/Xy1MdId6ZS",0.0,16
09/20/2017,The New York Times,1.0,0.0,Tracking Hurricane Maria's path https://t.co/4giGPuehRC https://t.co/tz7Voan81V,0.0,15
09/20/2017,The New York Times,1.0,0.0,5th graders in South Carolina were asked to explain the KKK's thinking https://t.co/ljDwBcWeaB,0.0,14
09/20/2017,The New York Times,1.0,0.0,"RT @RorySmith: I've spent the last 10 months with @IlkayGuendogan as he rebuilt his knee.

This is the story of his long road back.
https:/…",0.0,13
09/20/2017,The New York Times,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/huQiUgtnOL https://t.co/XPougGHlLP,0.0,12
09/20/2017,The New York Times,0.859,0.0,"""I can't believe I'm alive,"" said a woman in Mexico who broke her foot as she escaped a building https://t.co/duRzF4HnOW",-0.4215,11
09/20/2017,The New York Times,1.0,0.0,The CEO of KB Home was recorded yelling a series of sexist and homophobic slurs at Kathy Griffin https://t.co/tjaGf7JV5m,0.0,10
09/20/2017,The New York Times,0.861,0.0,Mexico City’s mayor said buildings collapsed at 44 different locations in the capital https://t.co/xDv6GmGNjI,-0.2732,9
09/20/2017,The New York Times,0.645,0.0,Opinion: Expect the inquisition https://t.co/dMPRAbLZwb,-0.296,8
09/20/2017,The New York Times,0.833,0.167,Breaking News: Hurricane Maria has made landfall on Puerto Rico as a powerful Category 4 storm https://t.co/SlgfSmIivc,0.4215,7
09/20/2017,The New York Times,1.0,0.0,A look at the buildings that toppled in Mexico's earthquake https://t.co/Pv64S5IzWt,0.0,6
09/20/2017,The New York Times,1.0,0.0,"Subscribe to The Daily, a new audio news report hosted by @mikiebarb, here: https://t.co/FGrU0Lukse",0.0,5
09/20/2017,The New York Times,0.682,0.318,America First at the United Nations https://t.co/BYpdJFsWM5,0.4215,4
09/20/2017,The New York Times,0.774,0.226,It was really only a matter of time before President Trump chimed in on the Emmy Awards https://t.co/TBCmyOqOKX,0.5233,3
09/20/2017,The New York Times,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/YVPHMOuOtu https://t.co/y5B0aIm1qC,0.0,2
09/20/2017,The New York Times,0.547,0.0,Trump's threat to destroy North Korea provoked a debate about whether he had violated a tenet of the UN Charter https://t.co/7iEIr4nfWy,-0.9081,1
